[2024-10-18T16:03:57.336+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction manual__2024-10-18T15:58:45.154710+00:00 [queued]>
[2024-10-18T16:03:57.345+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 4
[2024-10-18T16:03:59.200+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 2051010
[2024-10-18T16:03:59.201+0000] {logging_mixin.py:151} INFO - Processed 2108330 Already! Sorry Try another
[2024-10-18T16:03:59.202+0000] {logging_mixin.py:151} INFO - Processed 2116120 Already! Sorry Try another
[2024-10-18T16:03:59.202+0000] {logging_mixin.py:151} INFO - Processed 2184350 Already! Sorry Try another
[2024-10-18T16:03:59.203+0000] {logging_mixin.py:151} INFO - Processed 2305760 Already! Sorry Try another
[2024-10-18T16:03:59.203+0000] {logging_mixin.py:151} INFO - Processed 2395260 Already! Sorry Try another
[2024-10-18T16:03:59.204+0000] {logging_mixin.py:151} INFO - Processed 2500160 Already! Sorry Try another
[2024-10-18T16:03:59.204+0000] {logging_mixin.py:151} INFO - Processed 2529080 Already! Sorry Try another
[2024-10-18T16:03:59.205+0000] {logging_mixin.py:151} INFO - Processed 2570210 Already! Sorry Try another
[2024-10-18T16:03:59.205+0000] {logging_mixin.py:151} INFO - Processed 2576020 Already! Sorry Try another
[2024-10-18T16:03:59.205+0000] {logging_mixin.py:151} INFO - Processed 2582560 Already! Sorry Try another
[2024-10-18T16:03:59.206+0000] {logging_mixin.py:151} INFO - Processed 2716120 Already! Sorry Try another
[2024-10-18T16:03:59.206+0000] {logging_mixin.py:151} INFO - Processed 2716820 Already! Sorry Try another
[2024-10-18T16:03:59.207+0000] {logging_mixin.py:151} INFO - Processed 2719030 Already! Sorry Try another
[2024-10-18T16:03:59.207+0000] {logging_mixin.py:151} INFO - Processed 2803360 Already! Sorry Try another
[2024-10-18T16:03:59.208+0000] {logging_mixin.py:151} INFO - Processed 3207390 Already! Sorry Try another
[2024-10-18T16:03:59.208+0000] {logging_mixin.py:151} INFO - Processed 538030 Already! Sorry Try another
[2024-10-18T16:03:59.208+0000] {logging_mixin.py:151} INFO - Processed 1170950 Already! Sorry Try another
[2024-10-18T16:03:59.209+0000] {logging_mixin.py:151} INFO - Processed 1217490 Already! Sorry Try another
[2024-10-18T16:03:59.209+0000] {logging_mixin.py:151} INFO - Processed 1264171 Already! Sorry Try another
[2024-10-18T16:03:59.210+0000] {logging_mixin.py:151} INFO - Processed 1270010 Already! Sorry Try another
[2024-10-18T16:03:59.210+0000] {logging_mixin.py:151} INFO - Processed 1351370 Already! Sorry Try another
[2024-10-18T16:03:59.211+0000] {logging_mixin.py:151} INFO - Processed 1392390 Already! Sorry Try another
[2024-10-18T16:03:59.211+0000] {logging_mixin.py:151} INFO - Processed 1437840 Already! Sorry Try another
[2024-10-18T16:03:59.211+0000] {logging_mixin.py:151} INFO - Processed 1474930 Already! Sorry Try another
